Ref,Status,Design ,Type ,Mode,Year,Outstanding Benefits-RiskScore,Membership,Net Assets,ExpensesToAssets_ratio,LiquidityRatio,OverallRiskScore,ReturnOnInvestment,UnremmittedContributionsToAssetsRatio,ComplianceToTable G,Inflation,CBKrate,Exchange_rate
10,Active,Defined Benefit,Pension Scheme,Segregated funds,2024,1,120," 1,084,560,803.00 ",0.82%,31%,3.26,20%,0%,1,5%,11%,134.8
10,Active,Defined Benefit,Pension Scheme,Segregated funds,2023,1,191," 941,487,657.00 ",0.85%,100%,3.34,6%,0%,1,7%,13%,151.77
10,Active,Defined Benefit,Pension Scheme,Segregated funds,2022,5,122," 947,752,355.00 ",0.97%,158%,4.14,3%,0%,1,9%,9%,121.95
10,Active,Defined Benefit,Pension Scheme,Segregated funds,2021,1,125," 967,736,377.00 ",0.81%,22%,3.58,9%,0%,1,6%,7%,111.93
10,Active,Defined Benefit,Pension Scheme,Segregated funds,2020,0,128," 808,935,546.00 ",1.15%,29%,0,5%,0%,0,5%,7%,109.51
10,Active,Defined Benefit,Pension Scheme,Segregated funds,2019,0,129," 697,358,779.00 ",1.29%,40%,0,13%,0%,0,5%,9%,102.55
10,Active,Defined Benefit,Pension Scheme,Segregated funds,2018,0,128," 642,856,568.00 ",1.04%,146%,0,5%,0%,0,6%,9%,101.88
10,Active,Defined Benefit,Pension Scheme,Segregated funds,2017,0,127," 657,087,247.00 ",1.12%,32%,0,13%,0%,0,5%,10%,103.37
10,Active,Defined Benefit,Pension Scheme,Segregated funds,2016,0,117," 598,963,704.00 ",1.37%,147%,0,3%,0%,0,7%,10%,101.78
10,Active,Defined Benefit,Pension Scheme,Segregated funds,2015,0,129," 607,422,366.00 ",0.99%,57%,0,4%,0%,0,7%,13%,103.78
10,Active,Defined Benefit,Pension Scheme,Segregated funds,2014,0,127," 580,381,137.00 ",1.87%,31%,0,11%,0%,0,7%,10%,101.78
100,Active,Hybrid Scheme,Pension Scheme,Segregated funds,2024,5,5551," 15,885,481,182.00 ",1.34%,27%,3.98,12%,30%,5,5%,11%,134.8
100,Active,Hybrid Scheme,Pension Scheme,Segregated funds,2023,5,5425," 13,973,410,376.18 ",1.31%,50%,4.19,4%,30%,5,7%,13%,151.77
100,Active,Hybrid Scheme,Pension Scheme,Segregated funds,2022,5,5609," 13,402,325,355.00 ",1.18%,44%,4.09,3%,27%,5,9%,9%,121.95
100,Active,Hybrid Scheme,Pension Scheme,Segregated funds,2021,5,5704," 12,690,985,503.00 ",1.27%,36%,4.31,5%,25%,5,6%,7%,111.93
100,Active,Hybrid Scheme,Pension Scheme,Segregated funds,2020,0,5513," 11,794,450,029.00 ",1.15%,34%,0,3%,20%,0,5%,7%,109.51
100,Active,Hybrid Scheme,Pension Scheme,Segregated funds,2019,0,5488," 11,037,531,989.00 ",1.20%,29%,0,6%,15%,0,5%,9%,102.55
100,Active,Hybrid Scheme,Pension Scheme,Segregated funds,2018,0,6485," 9,999,829,975.00 ",1.13%,24%,0,5%,10%,0,6%,9%,101.88
100,Active,Hybrid Scheme,Pension Scheme,Segregated funds,2017,0,5693," 9,009,381,267.00 ",1.08%,19%,0,10%,0%,0,5%,10%,103.37
100,Active,Hybrid Scheme,Pension Scheme,Segregated funds,2016,0,4670," 7,666,057,472.00 ",1.22%,25%,0,4%,0%,0,7%,10%,101.78
1004,Active,Defined Contribution,Provident Fund,Guaranteed funds,2024,1,491," 3,912,528.85 ",0.87%,158%,4,10%,29%,1,5%,11%,134.8
1004,Active,Defined Contribution,Provident Fund,Guaranteed funds,2023,1,15," 4,107,411.00 ",0.83%,190%,3.24,8%,0%,5,7%,13%,151.77
1004,Active,Defined Contribution,Provident Fund,Guaranteed funds,2022,1,15," 4,392,780.00 ",0.79%,11%,3.44,5%,0%,5,9%,9%,121.95
1004,Active,Defined Contribution,Provident Fund,Guaranteed funds,2021,1,15," 3,202,266.00 ",0.92%,14%,3.44,9%,0%,5,6%,7%,111.93
1004,Active,Defined Contribution,Provident Fund,Guaranteed funds,2020,0,15," 2,965,001.00 ",0.97%,941%,0,10%,0%,0,5%,7%,109.51
1004,Active,Defined Contribution,Provident Fund,Guaranteed funds,2019,0,18," 5,591,180.00 ",1.07%,110%,0,10%,0%,0,5%,9%,102.55
1004,Active,Defined Contribution,Provident Fund,Guaranteed funds,2018,0,18," 5,727,610.00 ",0.44%,43%,0,8%,0%,0,6%,9%,101.88
1004,Active,Defined Contribution,Provident Fund,Guaranteed funds,2016,0,34000," 27,926,110,420.41 ",6.11%,41%,0,7%,0%,0,7%,10%,101.78
1004,Active,Defined Contribution,Provident Fund,Guaranteed funds,2014,0,16," 3,380,503.00 ",0.79%,92%,0,10%,0%,0,7%,10%,101.78
1007,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,1,15," 51,704,377.00 ",0.64%,10%,2.32,2%,0%,1,5%,11%,134.8
1007,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,1,16," 48,304,348.00 ",0.29%,9%,2.45,2%,0%,5,7%,13%,151.77
1007,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,1,15," 44,961,121.00 ",0.47%,18%,2.53,7%,0%,5,9%,9%,121.95
1007,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,1,0," 40,266,457.00 ",0.47%,36%,2.72,7%,0%,5,6%,7%,111.93
1007,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2020,0,0," 37,258,704.00 ",0.52%,54%,0,6%,0%,0,5%,7%,109.51
1007,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2019,0,18," 35,190,984.00 ",0.53%,24%,0,8%,0%,0,5%,9%,102.55
1007,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,18," 30,977,081.00 ",0.55%,6%,0,4%,0%,0,6%,9%,101.88
1007,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2017,0,0," 27,351,245.00 ",0.58%,5%,0,10%,1%,0,5%,10%,103.37
1007,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2016,0,16," 22,562,534.00 ",0.55%,42%,0,6%,2%,0,7%,10%,101.78
1007,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2015,0,0, -   ,0.00%,0%,0,0%,0%,0,7%,13%,103.78
1007,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2014,0,0," 18,225,700.00 ",0.60%,5%,0,10%,0%,0,7%,10%,101.78
1012,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,1,416," 340,849,211.00 ",0.25%,56%,2.82,10%,10%,1,5%,11%,134.8
1012,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,1,435," 311,493,992.00 ",0.26%,13%,2.56,8%,3%,5,7%,13%,151.77
1012,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,1,139," 258,529,179.00 ",0.35%,55%,2.56,6%,0%,5,9%,9%,121.95
1012,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,1,455," 239,618,121.00 ",0.25%,18%,3.44,8%,0%,5,6%,7%,111.93
1012,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2020,0,507," 201,495,900.00 ",0.25%,30%,0,7%,1%,0,5%,7%,109.51
1012,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2019,0,253," 176,332,104.00 ",0.31%,135%,0,10%,0%,0,5%,9%,102.55
1012,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,437," 187,019,595.00 ",0.29%,59%,0,8%,0%,0,6%,9%,101.88
1012,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2017,0,446," 174,305,007.00 ",0.40%,22%,0,9%,0%,0,5%,10%,103.37
1012,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2016,0,0," 150,679,513.00 ",0.31%,30%,0,8%,0%,0,7%,10%,101.78
1012,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2015,0,437," 132,026,821.00 ",0.29%,14%,0,7%,0%,0,7%,13%,103.78
1012,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2014,0,449," 111,310,635.00 ",0.35%,6%,0,10%,0%,0,7%,10%,101.78
1013,Active,Defined Contribution,Pension Scheme,Segregated funds,2024,1,584," 867,649,420.00 ",1.50%,21%,3.15,22%,0%,1,5%,11%,134.8
1013,Active,Defined Contribution,Pension Scheme,Segregated funds,2023,1,588," 675,121,213.00 ",1.70%,53%,3.1,3%,0%,1,7%,13%,151.77
1013,Active,Defined Contribution,Pension Scheme,Segregated funds,2022,1,578," 643,601,650.00 ",1.57%,105%,3.1,2%,0%,1,9%,9%,121.95
1013,Active,Defined Contribution,Pension Scheme,Segregated funds,2021,1,551," 646,280,989.00 ",1.76%,77%,3.58,11%,0%,1,6%,7%,111.93
1013,Active,Defined Contribution,Pension Scheme,Segregated funds,2020,0,584," 620,886,830.00 ",1.55%,72%,0,8%,0%,0,5%,7%,109.51
1013,Active,Defined Contribution,Pension Scheme,Segregated funds,2019,0,598," 595,057,955.00 ",1.28%,21%,0,14%,0%,0,5%,9%,102.55
1013,Active,Defined Contribution,Pension Scheme,Segregated funds,2018,0,612," 500,612,853.00 ",1.37%,68%,0,6%,0%,0,6%,9%,101.88
1013,Active,Defined Contribution,Pension Scheme,Segregated funds,2017,0,635," 479,823,063.00 ",1.25%,126%,0,16%,0%,0,5%,10%,103.37
1013,Active,Defined Contribution,Pension Scheme,Segregated funds,2016,0,640," 510,292,401.00 ",1.41%,215%,0,9%,0%,0,7%,10%,101.78
1013,Active,Defined Contribution,Pension Scheme,Segregated funds,2015,0,680," 630,882,386.00 ",1.21%,183%,0,1%,0%,0,7%,13%,103.78
1013,Active,Defined Contribution,Pension Scheme,Segregated funds,2014,0,489," 686,810,166.00 ",1.07%,33%,0,14%,0%,0,7%,10%,101.78
1014,Active,Defined Contribution,Pension Scheme,Segregated funds,2024,1,2010," 694,153,486.00 ",1.07%,29%,3.91,18%,1%,5,5%,11%,134.8
1014,Active,Defined Contribution,Pension Scheme,Segregated funds,2023,1,1837," 583,062,228.00 ",1.16%,87%,3.21,8%,1%,1,7%,13%,151.77
1014,Active,Defined Contribution,Pension Scheme,Segregated funds,2022,1,1785," 573,477,381.00 ",0.88%,90%,3.91,8%,1%,1,9%,9%,121.95
1014,Active,Defined Contribution,Pension Scheme,Segregated funds,2021,1,1723," 566,591,843.00 ",1.01%,76%,4.08,11%,1%,1,6%,7%,111.93
1014,Active,Defined Contribution,Pension Scheme,Segregated funds,2020,0,1840," 551,164,511.00 ",1.31%,139%,0,8%,1%,0,5%,7%,109.51
1014,Active,Defined Contribution,Pension Scheme,Segregated funds,2019,0,1914," 579,528,421.00 ",1.04%,142%,0,13%,1%,0,5%,9%,102.55
1014,Active,Defined Contribution,Pension Scheme,Segregated funds,2018,0,1865," 623,142,993.00 ",1.90%,325%,0,14%,0%,0,6%,9%,101.88
1014,Active,Defined Contribution,Pension Scheme,Segregated funds,2017,0,1059," 1,068,539,860.00 ",1.04%,39%,0,14%,0%,0,5%,10%,103.37
1014,Active,Defined Contribution,Pension Scheme,Segregated funds,2016,0,1173," 878,809,695.00 ",1.06%,56%,0,7%,0%,0,7%,10%,101.78
1014,Active,Defined Contribution,Pension Scheme,Segregated funds,2015,0,1095," 762,482,076.00 ",0.96%,15%,0,6%,0%,0,7%,13%,103.78
1014,Active,Defined Contribution,Pension Scheme,Segregated funds,2014,0,995," 540,477,365.00 ",0.69%,9%,0,11%,0%,0,7%,10%,101.78
1016,Active,Defined Contribution,Provident Fund,Guaranteed funds,2024,1,95," 182,343,230.00 ",0.46%,37%,2.94,11%,0%,1,5%,11%,134.8
1016,Active,Defined Contribution,Provident Fund,Guaranteed funds,2023,1,96," 155,095,119.00 ",0.46%,23%,2.48,10%,0%,5,7%,13%,151.77
1016,Active,Defined Contribution,Provident Fund,Guaranteed funds,2022,1,204," 129,062,664.00 ",0.82%,88%,2.38,9%,0%,5,9%,9%,121.95
1016,Active,Defined Contribution,Provident Fund,Guaranteed funds,2021,1,119," 125,773,057.00 ",0.59%,32%,2.66,9%,0%,5,6%,7%,111.93
1016,Active,Defined Contribution,Provident Fund,Guaranteed funds,2020,0,105," 107,971,728.00 ",-0.29%,51%,0,7%,0%,0,5%,7%,109.51
1016,Active,Defined Contribution,Provident Fund,Guaranteed funds,2019,0,100," 98,219,118.00 ",0.06%,76%,0,8%,0%,0,5%,9%,102.55
1016,Active,Defined Contribution,Provident Fund,Guaranteed funds,2018,0,102," 93,594,546.00 ",0.30%,52%,0,9%,0%,0,6%,9%,101.88
1016,Active,Defined Contribution,Provident Fund,Guaranteed funds,2017,0,100," 84,296,352.00 ",0.00%,54%,0,13%,0%,0,5%,10%,103.37
1016,Active,Defined Contribution,Provident Fund,Guaranteed funds,2016,0,90," 76,102,434.00 ",0.00%,64%,0,10%,2%,0,7%,10%,101.78
1016,Active,Defined Contribution,Provident Fund,Guaranteed funds,2015,0,101," 69,947,867.00 ",0.63%,29%,0,10%,0%,0,7%,13%,103.78
1016,Active,Defined Contribution,Provident Fund,Guaranteed funds,2014,0,107," 55,361,736.00 ",0.45%,70%,0,14%,0%,0,7%,10%,101.78
1019,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,1,94," 338,755,343.00 ",0.52%,19%,2.24,11%,0%,1,5%,11%,134.8
1019,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,1,68," 290,357,575.00 ",0.48%,32%,2.44,9%,0%,5,7%,13%,151.77
1019,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,1,66," 257,758,033.00 ",0.52%,100%,2.84,7%,0%,5,9%,9%,121.95
1019,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,1,68," 257,758,174.00 ",0.61%,63%,2.72,9%,0%,5,6%,7%,111.93
1019,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2020,0,73," 244,850,271.00 ",0.58%,178%,0,8%,0%,0,5%,7%,109.51
1019,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2019,0,75," 270,638,308.00 ",0.54%,78%,0,10%,0%,0,5%,9%,102.55
1019,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,71," 261,716,081.00 ",0.57%,73%,0,8%,0%,0,6%,9%,101.88
1019,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2017,0,68," 252,699,680.00 ",0.50%,16%,0,9%,0%,0,5%,10%,103.37
1019,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2016,0,69," 222,857,085.00 ",0.54%,32%,0,8%,0%,0,7%,10%,101.78
1019,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2015,0,71," 201,335,716.00 ",0.62%,15%,0,7%,0%,0,7%,13%,103.78
1020,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,1,155," 129,086,902.00 ",0.31%,6%,2.24,10%,0%,1,5%,11%,134.8
1020,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,1,151," 106,017,457.00 ",0.34%,27%,2.29,9%,0%,5,7%,13%,151.77
1020,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,1,140," 91,009,415.00 ",0.36%,4%,2.29,8%,0%,5,9%,9%,121.95
1020,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,1,122," 73,709,223.00 ",0.39%,13%,2.67,9%,0%,5,6%,7%,111.93
1020,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2020,0,82," 59,913,005.00 ",0.39%,-52%,0,7%,0%,0,5%,7%,109.51
1020,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2019,0,106," 50,930,706.00 ",0.27%,5%,0,8%,0%,0,5%,9%,102.55
1020,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,91," 40,037,487.00 ",0.34%,22%,0,3%,0%,0,6%,9%,101.88
1020,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2016,0,58," 27,851,032.00 ",0.57%,43%,0,3%,1%,0,7%,10%,101.78
1020,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2015,0,0," 24,930,830.00 ",0.52%,5%,0,2%,0%,0,7%,13%,103.78
1020,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2014,0,0," 20,610,556.00 ",1.03%,5%,0,6%,0%,0,7%,10%,101.78
1021,Active,Defined Contribution,Provident Fund,Guaranteed funds,2024,1,52," 210,733,762.00 ",0.55%,179%,2.36,12%,0%,1,5%,11%,134.8
1021,Active,Defined Contribution,Provident Fund,Guaranteed funds,2023,1,48," 247,262,612.00 ",0.45%,119%,2.42,10%,0%,5,7%,13%,151.77
1021,Active,Defined Contribution,Provident Fund,Guaranteed funds,2022,1,52," 255,791,480.00 ",0.43%,12%,2.42,8%,0%,5,9%,9%,121.95
1021,Active,Defined Contribution,Provident Fund,Guaranteed funds,2021,1,58," 221,011,160.00 ",0.60%,62%,2.64,10%,0%,5,6%,7%,111.93
1021,Active,Defined Contribution,Provident Fund,Guaranteed funds,2020,0,66," 207,116,833.00 ",0.48%,121%,0,9%,0%,0,5%,7%,109.51
1021,Active,Defined Contribution,Provident Fund,Guaranteed funds,2019,0,55," 214,745,044.00 ",0.50%,29%,0,9%,0%,0,5%,9%,102.55
1021,Active,Defined Contribution,Provident Fund,Guaranteed funds,2018,0,59," 186,405,936.00 ",0.47%,29%,0,7%,0%,0,6%,9%,101.88
1021,Active,Defined Contribution,Provident Fund,Guaranteed funds,2017,0,59," 163,962,211.00 ",0.52%,29%,0,11%,0%,0,5%,10%,103.37
1021,Active,Defined Contribution,Provident Fund,Guaranteed funds,2016,0,65," 140,017,488.00 ",0.59%,151%,0,10%,0%,0,7%,10%,101.78
1021,Active,Defined Contribution,Provident Fund,Guaranteed funds,2015,0,52," 156,025,634.00 ",0.46%,43%,0,8%,0%,0,7%,13%,103.78
1021,Active,Defined Contribution,Provident Fund,Guaranteed funds,2014,0,0, -   ,0.00%,0%,0,0%,0%,0,7%,10%,101.78
1022,Active,Defined Benefit,Pension Scheme,Guaranteed funds,2024,1,158," 210,909,537.00 ",0.56%,28%,3.76,11%,2%,1,5%,11%,134.8
1022,Active,Defined Benefit,Pension Scheme,Guaranteed funds,2023,1,145," 183,161,155.00 ",0.46%,54%,3.42,9%,0%,5,7%,13%,151.77
1022,Active,Defined Benefit,Pension Scheme,Guaranteed funds,2022,1,135," 169,284,144.00 ",0.44%,88%,3.37,6%,1%,5,9%,9%,121.95
1022,Active,Defined Benefit,Pension Scheme,Guaranteed funds,2021,1,128," 166,696,717.00 ",0.91%,21%,3.46,8%,0%,5,6%,7%,111.93
1022,Active,Defined Benefit,Pension Scheme,Guaranteed funds,2020,0,127," 146,496,629.00 ",0.54%,93%,0,8%,0%,0,5%,7%,109.51
1022,Active,Defined Benefit,Pension Scheme,Guaranteed funds,2019,0,141," 144,789,516.00 ",0.53%,8%,0,9%,0%,0,5%,9%,102.55
1022,Active,Defined Benefit,Pension Scheme,Guaranteed funds,2018,0,135," 120,605,455.00 ",0.59%,20%,0,8%,0%,0,6%,9%,101.88
1022,Active,Defined Benefit,Pension Scheme,Guaranteed funds,2017,0,84," 102,410,456.00 ",0.53%,26%,0,9%,0%,0,5%,10%,103.37
1022,Active,Defined Benefit,Pension Scheme,Guaranteed funds,2016,0,83," 86,190,729.00 ",0.04%,28%,0,8%,0%,0,7%,10%,101.78
1022,Active,Defined Benefit,Pension Scheme,Guaranteed funds,2015,0,0," 72,704,012.00 ",0.00%,26%,0,7%,0%,0,7%,13%,103.78
1022,Active,Defined Benefit,Pension Scheme,Guaranteed funds,2014,0,0, -   ,0.00%,0%,0,0%,0%,0,7%,10%,101.78
1023,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,1,0," 500,280,975.00 ",0.72%,29%,3.21,17%,0%,5,5%,11%,134.8
1023,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,1,92," 422,796,568.00 ",1.09%,129%,3.09,-1%,0%,1,7%,13%,151.77
1023,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,1,0," 428,633,438.00 ",1.16%,109%,3.03,3%,0%,5,9%,9%,121.95
1023,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,1,0," 431,685,387.00 ",1.20%,39%,3.23,11%,0%,1,6%,7%,111.93
1023,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2020,0,0," 385,310,172.00 ",1.13%,124%,0,8%,0%,0,5%,7%,109.51
1023,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2019,0,90," 402,076,236.00 ",1.05%,20%,0,15%,0%,0,5%,9%,102.55
1023,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,92," 334,721,833.00 ",1.11%,48%,0,9%,0%,0,6%,9%,101.88
1023,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2017,0,0," 306,654,388.00 ",1.09%,21%,0,11%,0%,0,5%,10%,103.37
1023,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2016,0,0," 261,639,551.00 ",0.86%,44%,0,7%,0%,0,7%,10%,101.78
1023,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2015,0,0," 238,876,083.00 ",0.61%,49%,0,2%,0%,0,7%,13%,103.78
1023,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2014,0,0," 225,183,128.00 ",0.65%,73%,0,7%,0%,0,7%,10%,101.78
1026,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2024,1,115," 225,944,094.00 ",1.03%,91%,2.19,9%,2%,1,5%,11%,134.8
1026,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2023,1,179," 221,884,859.00 ",0.42%,504%,2.19,9%,0%,5,7%,13%,151.77
1026,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2022,1,0," 437,026,148.00 ",0.56%,32%,2.34,10%,0%,5,9%,9%,121.95
1026,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2021,1,173," 378,729,915.00 ",0.38%,36%,2.62,9%,0%,5,6%,7%,111.93
1026,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2020,0,101," 332,735,557.00 ",0.62%,37%,0,9%,0%,0,5%,7%,109.51
1026,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2019,0,101," 287,327,009.00 ",0.39%,20%,0,9%,0%,0,5%,9%,102.55
1026,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2018,0,120," 237,288,216.00 ",0.31%,7%,0,10%,0%,0,6%,9%,101.88
1026,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2017,0,101," 189,581,992.00 ",0.29%,9%,0,10%,0%,0,5%,10%,103.37
1026,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2016,0,88," 153,588,915.00 ",0.34%,19%,0,10%,0%,0,7%,10%,101.78
1026,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2015,0,86," 127,498,109.00 ",0.29%,32%,0,12%,0%,0,7%,13%,103.78
1026,Active,Defined Contribution,Pension Scheme,Guaranteed funds,2014,0,78," 107,762,794.00 ",0.60%,18%,0,12%,1%,0,7%,10%,101.78
1027,Active,Defined Contribution,Provident Fund,Segregated funds,2024,1,226," 1,162,197,839.00 ",1.40%,79%,3.2,20%,0%,1,5%,11%,134.8
1027,Active,Defined Contribution,Provident Fund,Segregated funds,2023,1,233," 1,079,675,658.00 ",1.30%,85%,3.2,3%,0%,1,7%,13%,151.77
1027,Active,Defined Contribution,Provident Fund,Segregated funds,2022,1,242," 1,051,093,948.00 ",1.04%,36%,3.2,3%,0%,1,9%,9%,121.95
1027,Active,Defined Contribution,Provident Fund,Segregated funds,2021,1,224," 931,598,106.00 ",1.41%,31%,3.56,9%,0%,5,6%,7%,111.93
1027,Active,Defined Contribution,Provident Fund,Segregated funds,2020,0,207," 778,989,906.00 ",1.53%,75%,0,6%,0%,0,5%,7%,109.51
1027,Active,Defined Contribution,Provident Fund,Segregated funds,2019,0,180," 739,560,086.00 ",1.43%,38%,0,12%,0%,0,5%,9%,102.55
1027,Active,Defined Contribution,Provident Fund,Segregated funds,2018,0,177," 631,237,125.00 ",1.39%,31%,0,8%,0%,0,6%,9%,101.88
1027,Active,Defined Contribution,Provident Fund,Segregated funds,2017,0,176," 539,433,284.00 ",1.40%,26%,0,11%,0%,0,5%,10%,103.37
1027,Active,Defined Contribution,Provident Fund,Segregated funds,2016,0,171," 437,961,810.00 ",1.43%,34%,0,8%,0%,0,7%,10%,101.78
1027,Active,Defined Contribution,Provident Fund,Segregated funds,2015,0,151," 370,873,479.00 ",1.42%,46%,0,4%,0%,0,7%,13%,103.78
1027,Active,Defined Contribution,Provident Fund,Segregated funds,2014,0,153," 333,198,841.00 ",1.43%,13%,0,21%,0%,0,7%,10%,101.78
1029,Active,Defined Contribution,Provident Fund,Segregated funds,2024,1,127," 457,652,996.00 ",0.81%,49%,3.18,19%,0%,1,5%,11%,134.8
1029,Active,Defined Contribution,Provident Fund,Segregated funds,2023,1,171," 413,673,639.00 ",1.17%,388%,2.97,3%,0%,1,7%,13%,151.77
1029,Active,Defined Contribution,Provident Fund,Segregated funds,2022,1,181," 447,924,434.00 ",1.12%,8693%,2.98,0%,0%,1,9%,9%,121.95
1029,Active,Defined Contribution,Provident Fund,Segregated funds,2021,1,184," 509,602,671.00 ",0.99%,102%,3.31,12%,0%,1,6%,7%,111.93
1029,Active,Defined Contribution,Provident Fund,Segregated funds,2020,0,180," 510,576,901.00 ",0.96%,281%,0,6%,0%,0,5%,7%,109.51
1029,Active,Defined Contribution,Provident Fund,Segregated funds,2019,0,205," 568,685,569.00 ",1.21%,85%,0,17%,0%,0,5%,9%,102.55
1029,Active,Defined Contribution,Provident Fund,Segregated funds,2018,0,234," 553,927,774.00 ",0.99%,262%,0,3%,0%,0,6%,9%,101.88
1029,Active,Defined Contribution,Provident Fund,Segregated funds,2017,0,250," 585,061,158.00 ",0.91%,25%,0,17%,0%,0,5%,10%,103.37
1029,Active,Defined Contribution,Provident Fund,Segregated funds,2016,0,290," 511,206,416.00 ",1.01%,109%,0,8%,0%,0,7%,10%,101.78
1029,Active,Defined Contribution,Provident Fund,Segregated funds,2015,0,317," 514,825,813.00 ",0.96%,181%,0,3%,0%,0,7%,13%,103.78
103,Active,Defined Contribution,Provident Fund,Segregated funds,2024,5,683," 3,699,966,688.00 ",0.61%,117%,3.82,4%,0%,5,5%,11%,134.8
103,Active,Defined Contribution,Provident Fund,Segregated funds,2023,5,705," 3,766,131,404.00 ",0.63%,173%,3.24,3%,0%,5,7%,13%,151.77
103,Active,Defined Contribution,Provident Fund,Segregated funds,2022,1,709," 3,989,324,592.74 ",0.59%,57%,2.56,14%,0%,5,9%,9%,121.95
103,Active,Defined Contribution,Provident Fund,Segregated funds,2021,5,710," 3,671,469,507.00 ",0.67%,104%,3.52,7%,0%,5,6%,7%,111.93
103,Active,Defined Contribution,Provident Fund,Segregated funds,2020,0,717," 3,688,240,016.00 ",0.77%,135%,0,5%,0%,0,5%,7%,109.51
103,Active,Defined Contribution,Provident Fund,Segregated funds,2019,0,723," 3,838,366,159.00 ",0.63%,94%,0,3%,0%,0,5%,9%,102.55
103,Active,Defined Contribution,Provident Fund,Segregated funds,2018,0,735," 3,823,758,180.00 ",0.71%,68%,0,18%,0%,0,6%,9%,101.88
103,Active,Defined Contribution,Provident Fund,Segregated funds,2017,0,750," 3,545,472,117.00 ",0.68%,129%,0,3%,0%,0,5%,10%,103.37
103,Active,Defined Contribution,Provident Fund,Segregated funds,2016,0,747," 3,635,702,451.00 ",0.74%,49%,0,8%,0%,0,7%,10%,101.78
103,Active,Defined Contribution,Provident Fund,Segregated funds,2015,0,747," 3,394,363,686.00 ",0.81%,26%,0,11%,0%,0,7%,13%,103.78
103,Active,Defined Contribution,Provident Fund,Segregated funds,2014,0,526," 2,972,043,103.00 ",1.02%,21%,0,19%,0%,0,7%,10%,101.78
